Date,Team,xG,xA,xPTS,match_or_not
31/10/2021,Aston Villa,0.69,2.66,0.15,1
01/11/2021,Wolverhampton Wanderers,1.69,1.70,1.34,1
01/11/2021,Everton,1.70,1.69,1.38,1
05/11/2021,Southampton,0.90,0.54,1.72,1
05/11/2021,Aston Villa,0.54,0.90,0.92,1
06/11/2021,Crystal Palace,2.65,0.25,2.86,1
06/11/2021,Manchester City,2.04,0.76,2.37,1
06/11/2021,Norwich,1.16,2.79,0.34,1
06/11/2021,Chelsea,3.01,0.67,2.73,1
06/11/2021,Newcastle United,0.23,1.43,0.29,1
06/11/2021,Burnley,0.67,3.01,0.17,1
06/11/2021,Brighton,1.43,0.23,2.53,1
06/11/2021,Brentford,2.79,1.16,2.50,1
06/11/2021,Manchester United,0.76,2.04,0.44,1
06/11/2021,Wolverhampton Wanderers,0.25,2.65,0.08,1
07/11/2021,West Ham,1.25,1.46,1.21,1
07/11/2021,Arsenal,1.49,0.49,2.28,1
07/11/2021,Leicester,0.80,1.97,0.45,1
07/11/2021,Leeds,1.97,0.80,2.34,1
07/11/2021,Everton,0.60,0.80,1.09,1
07/11/2021,Tottenham,0.80,0.60,1.53,1
07/11/2021,Liverpool,1.46,1.25,1.50,1
07/11/2021,Watford,0.49,1.49,0.47,1
20/11/2021,Liverpool,3.97,0.27,2.99,1
20/11/2021,Watford,2.73,1.67,2.09,1
20/11/2021,Chelsea,2.57,0.50,2.73,1
20/11/2021,Aston Villa,1.07,0.58,1.79,1
20/11/2021,Norwich,0.44,1.13,0.74,1
20/11/2021,Wolverhampton Wanderers,1.32,0.44,2.11,1
20/11/2021,Crystal Palace,1.75,1.04,1.89,1
20/11/2021,Newcastle United,2.18,1.23,2.05,1
20/11/2021,Burnley,1.04,1.75,0.87,1
20/11/2021,Brentford,1.23,2.18,0.73,1
20/11/2021,Southampton,1.13,0.44,1.94,1
20/11/2021,West Ham,0.44,1.32,0.61,1
20/11/2021,Brighton,0.58,1.07,0.87,1
20/11/2021,Manchester United,1.67,2.73,0.70,1
20/11/2021,Leicester,0.50,2.57,0.16,1
20/11/2021,Arsenal,0.27,3.97,0.01,1
21/11/2021,Manchester City,2.61,0.27,2.82,1
21/11/2021,Tottenham,2.32,1.47,2.02,1
21/11/2021,Leeds,1.47,2.32,0.75,1
21/11/2021,Everton,0.27,2.61,0.11,1
27/11/2021,Liverpool,3.07,0.97,2.68,1
27/11/2021,Arsenal,2.84,0.19,2.91,1
27/11/2021,Aston Villa,0.45,0.96,0.80,1
27/11/2021,Norwich,1.40,0.30,2.35,1
27/11/2021,Brighton,1.90,0.86,2.16,1
27/11/2021,Wolverhampton Wanderers,0.30,1.40,0.42,1
27/11/2021,Leeds,0.86,1.90,0.62,1
27/11/2021,Crystal Palace,0.96,0.45,1.85,1
27/11/2021,Newcastle United,0.19,2.84,0.05,1
27/11/2021,Southampton,0.97,3.07,0.22,1
28/11/2021,Leicester,2.16,2.38,1.24,1
28/11/2021,Manchester City,2.72,0.17,2.90,1
28/11/2021,Brentford,1.20,0.97,1.59,1
28/11/2021,Chelsea,2.35,0.56,2.65,1
28/11/2021,Manchester United,0.56,2.35,0.22,1
28/11/2021,West Ham,0.17,2.72,0.06,1
28/11/2021,Everton,0.97,1.20,1.08,1
28/11/2021,Watford,2.38,2.16,1.52,1
30/11/2021,Leeds,1.98,0.71,2.43,1
30/11/2021,Norwich,1.51,1.16,1.62,1
30/11/2021,Newcastle United,1.16,1.51,1.08,1
30/11/2021,Crystal Palace,0.71,1.98,0.38,1
01/12/2021,Liverpool,2.86,0.51,2.79,1
01/12/2021,Chelsea,0.91,0.99,1.27,1
01/12/2021,Manchester City,1.02,0.77,1.53,1
01/12/2021,Southampton,1.91,1.44,1.75,1
01/12/2021,Leicester,1.44,1.91,1.00,1
01/12/2021,West Ham,1.15,1.26,1.25,1
01/12/2021,Brighton,1.26,1.15,1.43,1
01/12/2021,Burnley,0.20,0.71,0.72,1
01/12/2021,Wolverhampton Wanderers,0.71,0.20,1.82,1
01/12/2021,Aston Villa,0.77,1.02,1.13,1
01/12/2021,Watford,0.99,0.91,1.40,1
01/12/2021,Everton,0.51,2.86,0.14,1
02/12/2021,Tottenham,2.07,0.23,2.78,1
02/12/2021,Manchester United,1.86,1.17,1.92,1
02/12/2021,Arsenal,1.17,1.86,0.82,1
02/12/2021,Brentford,0.23,2.07,0.13,1
04/12/2021,Manchester City,4.03,0.68,2.88,1
04/12/2021,West Ham,2.02,1.37,1.88,1
04/12/2021,Newcastle United,1.71,0.60,2.25,1
04/12/2021,Liverpool,2.42,0.10,2.88,1
04/12/2021,Southampton,1.34,1.49,1.21,1
