,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS
50,0,1,0,1,0,0,0,0,0,1,1,1,H,7,4,5,6,0.6867469879518072,0.8563185227928447,0.023081361800346218,0.07056798623063684
51,0,0,0,0,0,1,0,0,1,1,1,0,H,5,5,7,5,0.30808950086058523,0.4108482400461627,1.1563762261973456,0.9294320137693631
52,0,0,1,1,1,1,0,0,1,1,0,1,A,4,9,6,5,1.0413080895008606,0.9371032890940565,1.4495095210617426,0.6936316695352841
53,0,0,0,1,0,1,0,0,1,0,0,1,A,6,7,6,3,0.20137693631669537,0.22850548182342756,0.10848240046162723,0.1153184165232358
54,0,1,0,0,1,0,0,0,1,0,1,0,H,9,7,4,8,0.5989672977624785,0.6947489901904212,0.8147720715522215,0.9862306368330465
55,0,0,1,0,0,0,0,1,0,0,0,1,H,8,5,4,5,0.49569707401032703,0.7755337564916329,0.08078476630121176,0.20309810671256456
56,0,0,0,0,1,0,0,1,0,0,1,1,A,10,5,15,3,1.3838209982788297,0.6878245816503173,0.49163300634737445,0.4716006884681584
57,0,1,0,0,0,0,0,0,0,0,1,1,D,4,2,9,3,1.2805507745266782,0.7663012117714945,0.3485285631852279,0.4268502581755594
58,0,1,0,0,1,1,0,0,1,0,1,1,D,4,2,9,0,0.783132530120482,0.9786497403346797,1.3525678015002884,0.774526678141136
59,0,0,1,1,0,0,0,0,0,1,0,0,A,6,4,7,5,0.03442340791738382,0.06693594922100403,0.6001154068090017,0.6316695352839932
60,0,0,0,0,1,1,0,0,0,0,1,0,A,2,10,5,6,0.024096385542168672,0.05308713214079631,0.7639930755914599,0.9259896729776248
61,0,0,0,1,0,0,0,1,0,1,0,0,D,7,6,7,4,0.09466437177280551,0.21465666474321984,0.22619734564339297,0.20137693631669537
62,0,0,1,1,0,1,0,0,1,0,0,0,D,6,4,4,7,0.08777969018932874,0.09001731102135026,1.4125793421811885,0.7917383820998278
63,0,0,0,1,1,1,0,1,0,0,0,0,D,6,3,12,3,1.3218588640275388,0.6693594922100404,0.5354875937680322,0.7900172117039588
64,0,0,1,0,1,0,0,0,1,1,0,0,D,5,5,8,4,1.3838209982788297,0.641661858049625,1.3848817080207732,0.6712564543889846
65,0,0,1,1,1,0,0,0,0,1,1,0,D,5,7,5,5,0.37005163511187605,0.48701673398730516,0.8309290248124639,0.9259896729776248
