,HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5
116,Tottenham,Sunderland,H,1,0,H,11,12,6,3,18,9,8,7,1,0,1,0,15,9,17,11,0,0,1,0,0,1,0,1,0,0,0,0
117,Everton,Aston Villa,A,0,0,D,14,4,6,1,17,23,6,2,3,2,0,0,14,14,19,9,0,0,1,1,1,1,0,0,0,1,1,0
118,Derby,West Ham,D,0,0,D,14,6,2,6,14,18,6,1,1,1,0,0,16,13,28,14,0,0,0,1,0,0,0,0,0,0,1,0
119,Arsenal,Derby,D,0,0,D,15,9,9,2,12,13,10,0,0,2,0,0,22,16,10,28,0,0,1,0,1,1,0,1,0,0,0,1
120,Aston Villa,Tottenham,H,1,0,H,11,3,6,2,15,13,10,1,0,3,0,0,16,17,9,18,0,1,0,1,0,0,0,0,1,1,1,0
121,Bradford,Everton,A,0,0,D,11,9,6,4,8,18,3,3,1,2,0,0,5,14,19,20,0,0,1,1,0,0,0,0,0,1,0,1
122,Ipswich,Charlton,H,0,0,D,30,7,13,4,8,12,13,3,0,2,0,0,17,19,14,18,0,0,1,1,0,1,0,0,1,1,1,1
123,Leicester,Newcastle,D,0,0,D,8,7,4,1,7,8,0,3,1,1,0,0,10,13,7,11,0,0,0,1,1,0,0,0,1,0,1,0
124,Man United,Middlesbrough,H,0,1,A,18,5,11,1,5,10,10,0,0,0,0,0,33,16,9,19,0,0,1,0,1,0,0,0,0,0,1,1
125,Sunderland,Southampton,D,1,1,D,11,10,5,5,13,21,7,4,1,1,0,0,10,15,13,22,0,0,1,0,0,0,0,0,0,1,0,0
126,West Ham,Man City,H,0,1,A,22,10,11,5,7,7,7,5,1,1,0,0,13,14,14,20,0,1,0,0,1,1,0,0,0,0,0,1
127,Chelsea,Leeds,D,0,0,D,12,11,7,3,19,24,3,2,4,4,0,0,24,20,17,18,0,0,0,0,1,0,0,1,0,1,0,0
128,Liverpool,Coventry,H,1,0,H,19,10,13,5,10,12,7,1,1,0,0,0,23,12,18,24,0,0,0,1,1,1,0,1,0,0,1,0
129,Charlton,Chelsea,H,1,0,H,10,13,6,3,18,22,4,5,2,3,0,0,19,24,18,17,0,0,0,0,0,1,0,0,1,1,0,0
130,Derby,Bradford,H,0,0,D,7,7,3,4,10,18,2,4,3,1,0,0,16,5,28,20,0,0,0,1,0,0,0,0,0,1,1,1
131,Everton,Arsenal,H,0,0,D,4,4,2,2,20,12,3,5,3,1,0,0,15,23,20,10,0,0,1,1,1,1,0,0,1,0,0,0
132,Leeds,West Ham,A,0,1,A,15,4,6,3,14,19,2,2,1,1,0,0,20,17,19,15,0,0,0,1,0,1,0,0,0,0,1,0
133,Man City,Man United,A,0,1,A,10,8,4,4,13,8,10,11,3,1,0,0,15,35,24,10,0,1,0,0,0,0,0,0,1,1,0,1
134,Middlesbrough,Leicester,A,0,2,A,11,9,4,7,8,12,6,2,3,1,0,0,17,11,21,8,0,0,1,1,1,0,0,1,0,0,1,1
135,Newcastle,Sunderland,A,1,0,H,19,9,9,6,17,26,1,4,1,3,0,0,14,12,12,15,0,1,0,0,0,1,0,1,0,0,0,0
136,Southampton,Aston Villa,H,2,0,H,7,9,3,3,10,10,3,3,0,0,0,0,17,16,24,11,0,1,0,0,1,0,0,0,0,1,1,0
137,Tottenham,Liverpool,H,2,1,H,6,9,4,4,11,13,6,5,1,2,0,0,17,27,20,19,0,0,1,0,0,1,0,0,1,0,1,1
138,Coventry,Ipswich,A,0,0,D,12,10,5,4,10,12,5,5,1,1,0,0,13,19,28,14,0,0,0,0,1,1,0,0,1,0,0,1
139,Charlton,Sunderland,A,0,0,D,10,8,2,3,16,16,7,8,0,1,0,0,19,12,20,15,0,0,0,0,0,1,0,1,0,0,0,0
140,Coventry,Aston Villa,D,0,1,A,10,7,2,4,9,19,6,1,1,2,0,0,13,17,29,12,0,0,0,0,1,1,0,0,0,1,1,0
141,Derby,Man United,A,0,0,D,1,12,0,7,12,12,3,9,2,1,0,0,18,36,28,10,0,0,0,1,0,0,0,0,1,1,0,1
142,Everton,Chelsea,H,0,1,A,11,10,5,6,11,18,1,4,0,3,0,1,17,25,20,20,0,0,1,1,1,1,0,0,1,1,0,0
143,Man City,Ipswich,A,0,2,A,9,11,4,4,8,5,6,5,0,2,0,0,15,20,25,14,0,1,0,0,0,0,0,0,1,0,0,1
144,Middlesbrough,Bradford,D,0,2,A,14,9,9,5,17,18,6,4,0,2,1,0,17,5,24,22,0,0,1,1,1,0,0,0,0,1,1,1
145,Southampton,West Ham,A,1,2,A,10,14,5,8,12,10,6,10,1,2,0,0,19,18,24,15,0,1,0,0,1,0,0,0,0,0,1,0
146,Tottenham,Leicester,H,2,0,H,15,11,7,5,21,15,5,8,1,3,0,1,19,14,21,8,0,0,1,0,0,1,0,1,0,0,1,1
147,Leeds,Arsenal,H,0,0,D,12,9,6,3,19,22,8,4,1,7,0,0,21,23,19,12,0,0,0,1,0,1,0,0,1,0,0,0
148,Newcastle,Liverpool,H,1,0,H,9,13,6,9,17,15,5,11,3,2,0,0,15,28,14,21,0,1,0,0,0,1,0,0,1,0,1,1
149,Arsenal,Southampton,H,0,0,D,24,7,12,5,14,15,16,8,0,2,0,0,23,19,12,24,0,0,1,0,1,1,0,0,0,1,0,0
150,Aston Villa,Newcastle,D,1,0,H,8,9,4,5,11,12,8,2,2,1,0,0,18,17,13,15,0,1,0,1,0,0,0,0,1,0,1,0
151,Bradford,Coventry,H,0,0,D,10,13,6,7,11,12,9,8,3,2,0,0,7,14,24,30,0,0,1,1,0,0,0,1,0,0,1,0
152,Ipswich,Derby,A,0,1,A,11,3,5,3,13,13,6,1,1,1,0,0,23,18,16,31,0,0,1,1,0,1,0,1,0,0,0,1
153,Leicester,Leeds,H,3,0,H,8,12,5,4,10,7,0,6,1,2,0,1,14,22,11,22,0,0,0,1,1,0,0,1,0,1,0,0
154,Liverpool,Charlton,H,1,0,H,13,7,3,2,10,9,6,5,1,1,0,0,29,21,23,21,0,0,0,1,1,1,0,0,1,1,1,1
155,Man United,Tottenham,H,1,0,H,16,5,8,3,7,8,7,5,2,1,0,0,39,22,10,21,0,0,1,0,1,0,0,0,1,1,1,0
156,West Ham,Middlesbrough,H,1,0,H,14,5,6,3,17,19,7,5,1,4,0,1,21,19,17,26,0,1,0,0,1,1,0,0,0,0,1,1
157,Chelsea,Man City,H,2,0,H,9,11,7,5,9,12,7,10,2,0,0,0,26,17,22,28,0,0,0,0,1,0,0,0,0,0,0,1
158,Sunderland,Everton,H,1,0,H,24,7,11,2,16,23,8,4,0,3,0,0,15,19,16,21,0,0,1,0,0,0,0,0,0,1,0,1
159,Arsenal,Newcastle,H,2,0,H,15,3,10,1,10,11,5,2,0,3,0,0,23,17,13,15,0,0,1,0,1,1,0,0,1,0,1,0
160,Bradford,Tottenham,D,1,2,A,13,6,6,4,6,16,7,2,2,0,0,0,9,22,25,23,0,0,1,1,0,0,0,0,1,1,1,0
161,Charlton,Man United,D,1,2,A,15,15,8,8,6,10,9,6,0,1,0,0,21,41,24,10,0,0,0,0,0,1,0,0,1,1,0,1
162,Chelsea,Derby,H,3,0,H,19,5,10,3,8,14,3,6,0,0,0,0,28,19,23,31,0,0,0,0,1,0,0,1,0,0,0,1
163,Man City,Everton,H,3,0,H,13,14,9,4,12,12,5,13,0,1,0,0,18,19,30,23,0,1,0,0,0,0,0,0,0,1,0,1
164,Southampton,Leeds,H,1,0,H,12,13,3,5,13,15,2,10,3,4,1,0,21,22,28,23,0,1,0,0,1,0,0,1,0,1,0,0
165,Sunderland,Middlesbrough,H,0,0,D,8,8,5,5,22,21,5,3,1,3,0,0,17,19,16,27,0,0,1,0,0,0,0,0,0,0,1,1
166,West Ham,Aston Villa,D,1,1,D,13,15,5,4,14,15,4,4,1,3,0,0,22,19,17,14,0,1,0,0,1,1,0,0,0,1,1,0
167,Coventry,Leicester,H,1,0,H,12,6,5,1,11,15,8,10,0,1,0,0,15,17,32,12,0,0,0,0,1,1,0,1,0,0,1,1
168,Liverpool,Ipswich,A,0,1,A,14,11,5,6,12,14,8,5,1,3,0,0,32,23,23,17,0,0,0,1,1,1,0,0,1,0,0,1
